datetime,aqi_us_lag1,aqi_us_lag12,aqi_us_lag24,scaled_humidity_%,scaled_temp_C_scaled_log_windspeed_kph,day_of_week,scaled_temp_C,scaled_temp_C_scaled_o3,aqi_us,scaled_log_pm2_5_lag1,scaled_log_pm2_5_lag12,scaled_log_pm2_5_lag24,scaled_log_pm10_lag1,scaled_log_pm10_lag12,scaled_log_pm10_lag24,scaled_log_no2,scaled_log_so2
2025-04-02 00:00:00,82.0,116.0,65.0,-0.322356703,2.933748352,2,-1.567158346,2.476989159,82,0.25475928,0.897682224,0.35588681,-0.26192833,0.875415506,0.449081578,1.969108748,1.035666783
2025-04-02 01:00:00,82.0,132.0,65.0,-0.335819246,3.523462796,2,-1.882173746,3.388146705,84,0.738734216,0.286880104,-1.16877593,-0.111482383,0.321526491,-0.430848866,2.219117396,1.463471579
2025-04-02 02:00:00,84.0,134.0,65.0,0.062447644,4.042637671,2,-2.386198387,4.894221608,85,0.965569932,0.25475928,-0.756072452,0.001939951,0.114223101,-0.104795469,2.495099657,1.984706906
2025-04-02 03:00:00,85.0,122.0,66.0,0.824203188,3.634799531,2,-2.827219948,5.089347341,87,1.554245896,0.211359007,0.167285835,0.238850227,-0.101461744,0.214083084,2.574785307,2.418086963
2025-04-02 04:00:00,87.0,99.0,66.0,1.396922195,3.140867397,2,-3.457250749,2.102729361,89,2.482340137,0.054017359,0.792710446,0.515820741,-0.225747315,0.075602717,2.319677239,2.814696341
2025-04-02 05:00:00,89.0,76.0,67.0,1.074943047,5.536973083,2,-3.268241508,-3.547893626,90,1.363959528,0.019137625,0.32915096,0.214083084,-0.302627503,0.402892445,1.767457674,3.148639183
2025-04-02 06:00:00,90.0,77.0,68.0,1.391873741,3.427054797,2,-3.772266149,-8.946234492,90,0.738734216,0.37080244,0.422022972,0.075602717,-0.176340449,0.664965192,1.084531878,3.291024841
2025-04-02 07:00:00,90.0,78.0,68.0,1.391873741,3.427054797,2,-3.772266149,-11.0760246,90,0.37080244,1.072542364,0.765850441,-0.094813632,0.140460783,0.943833133,0.464769008,3.140526468
2025-04-02 08:00:00,90.0,79.0,69.0,0.420326906,5.233997473,2,-2.449201467,-7.65221123,89,-0.088145396,0.756840409,1.040054438,-0.340482222,-0.165935565,1.089735778,-0.147569162,2.796522828
2025-04-02 09:00:00,89.0,80.0,71.0,-0.53551363,2.419806162,2,-1.882173746,-5.762533619,87,-0.548703055,0.286880104,1.112637002,-0.591418454,-0.344313963,1.116175296,-0.550916766,2.397326229
2025-04-02 10:00:00,87.0,81.0,72.0,-2.136995278,0.394817213,2,-0.307096744,-0.863159216,86,-0.849795094,0.111215721,1.080606661,-0.744174799,-0.422799508,1.074682823,-0.422568227,2.008528018
2025-04-02 11:00:00,86.0,82.0,90.0,-2.547041893,-1.535124942,2,0.952964858,2.230142402,86,-0.930329168,0.122518569,1.007190919,-0.823429638,-0.38310872,0.974377681,0.087491492,1.547689365
2025-04-02 12:00:00,86.0,82.0,116.0,-2.888653916,-2.035169525,2,1.582995659,2.959761273,114,-1.013211501,0.25475928,0.897682224,-0.880118083,-0.26192833,0.875415506,0.665963288,1.37681236
